* Measurement data measured by REW V5.31
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L Buds+, L Buds+
* Dated: 29-Apr-2024 11:39:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of L Buds+, L Buds+
* Measurement: Buds+ L1
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
649.309021	97.639
654.014160	97.629
658.753418	97.622
663.527039	97.616
668.335205	97.609
673.178284	97.600
678.056396	97.590
682.969849	97.579
687.918945	97.569
692.903870	97.564
697.924927	97.562
702.982422	97.562
708.076477	97.562
713.207520	97.559
718.375732	97.554
723.581360	97.549
728.824707	97.548
734.106079	97.548
739.425720	97.549
744.783936	97.550
750.180908	97.551
755.617065	97.552
761.092529	97.553
766.607727	97.556
772.162903	97.559
777.758301	97.562
783.394287	97.565
789.071045	97.568
794.789001	97.571
800.548340	97.574
806.349487	97.580
812.192627	97.587
818.078125	97.595
824.006226	97.604
829.977295	97.614
835.991699	97.626
842.049622	97.638
848.151428	97.651
854.297485	97.664
860.488098	97.679
866.723572	97.695
873.004211	97.715
879.330322	97.735
885.702332	97.755
892.120483	97.775
898.585144	97.794
905.096680	97.813
911.655396	97.832
918.261597	97.855
924.915710	97.880
931.618042	97.906
938.368896	97.931
945.168762	97.951
952.017822	97.965
958.916504	97.977
965.865234	97.991
972.864319	98.012
979.914062	98.043
987.014954	98.083
994.167236	98.130
1001.371399	98.180
1008.627747	98.231
1015.936646	98.280
1023.298584	98.329
1030.713867	98.376
1038.182739	98.424
1045.705933	98.471
1053.283447	98.519
1060.916016	98.564
1068.603882	98.607
1076.347412	98.649
1084.147095	98.692
1092.003296	98.736
1099.916382	98.780
1107.886841	98.823
1115.915039	98.866
1124.001343	98.909
1132.146362	98.951
1140.350342	98.993
1148.613770	99.036
1156.937134	99.080
1165.320801	99.123
1173.765137	99.166
1182.270752	99.209
1190.838013	99.250
1199.467285	99.289
1208.159180	99.328
1216.913940	99.367
1225.732178	99.407
1234.614380	99.448
1243.560913	99.488
1252.572266	99.528
1261.648926	99.567
1270.791382	99.606
1280.000000	99.645
1289.275391	99.686
1298.618042	99.728
1308.028320	99.771
1317.506836	99.814
1327.054077	99.856
1336.670410	99.896
1346.356567	99.936
1356.112793	99.976
1365.939697	100.016
1375.837891	100.057
1385.807739	100.098
1395.849854	100.140
1405.964844	100.182
1416.152954	100.224
1426.415039	100.265
1436.751465	100.303
1447.162720	100.341
1457.649414	100.382
1468.212158	100.429
1478.851440	100.482
1489.567871	100.540
1500.361816	100.599
1511.234131	100.658
1522.185059	100.714
1533.215454	100.766
1544.325806	100.816
1555.516602	100.865
1566.788574	100.912
1578.142090	100.954
1589.578003	100.990
1601.096680	101.017
1612.698975	101.036
1624.385254	101.047
1636.156250	101.055
1648.012451	101.063
1659.954590	101.074
1671.983398	101.088
1684.099243	101.108
1696.302856	101.133
1708.594971	101.166
1720.976196	101.206
1733.447144	101.253
1746.008423	101.306
1758.660645	101.363
1771.404663	101.424
1784.240967	101.490
1797.170288	101.562
1810.193359	101.640
1823.310791	101.722
1836.523193	101.809
1849.831421	101.898
1863.236084	101.989
1876.737793	102.081
1890.337524	102.174
1904.035645	102.269
1917.833008	102.365
1931.730469	102.462
1945.728638	102.559
1959.828125	102.657
1974.029907	102.753
1988.334473	102.849
2002.742798	102.945
2017.255493	103.039
2031.873291	103.132
2046.597168	103.224
2061.427734	103.318
2076.365479	103.417
2091.411865	103.518
2106.566895	103.622
2121.832031	103.727
2137.207764	103.835
2152.694824	103.947
2168.294189	104.065
2184.006592	104.188
2199.832764	104.314
2215.773682	104.444
2231.830078	104.577
2248.002686	104.715
2264.292725	104.858
2280.700684	105.006
2297.227539	105.157
2313.874268	105.313
2330.641602	105.470
2347.530273	105.629
2364.541504	105.790
2381.676025	105.951
2398.934570	106.108
2416.318359	106.261
2433.827881	106.406
2451.464355	106.545
2469.228760	106.678
2487.121826	106.806
2505.144531	106.930
2523.297852	107.048
2541.582764	107.162
2560.000000	107.273
2578.550781	107.380
2597.236084	107.484
2616.056641	107.587
2635.013672	107.686
2654.108154	107.782
2673.340820	107.876
2692.713135	107.967
2712.225586	108.055
2731.879395	108.141
2751.675781	108.225
2771.615479	108.305
2791.699707	108.382
2811.929688	108.460
2832.305908	108.536
2852.830078	108.609
2873.502930	108.677
2894.325439	108.738
2915.298828	108.793
2936.424316	108.844
2957.702881	108.891
2979.135742	108.933
3000.723633	108.968
3022.468262	108.994
3044.370117	109.011
3066.430908	109.021
3088.651611	109.026
3111.033203	109.027
3133.577148	109.024
3156.284180	109.016
3179.156006	109.005
3202.193359	108.991
3225.397949	108.975
3248.770508	108.959
3272.312500	108.941
3296.024902	108.921
3319.909180	108.898
3343.966797	108.872
3368.198486	108.844
3392.605713	108.811
3417.189941	108.774
3441.952393	108.730
3466.894287	108.678
3492.016846	108.621
3517.321289	108.563
3542.809326	108.505
3568.481934	108.449
3594.340576	108.393
3620.386719	108.340
3646.621582	108.289
3673.046387	108.243
3699.662842	108.202
3726.472168	108.165
3753.475586	108.132
3780.675049	108.105
3808.071289	108.084
3835.666016	108.066
3863.460938	108.051
3891.457275	108.038
3919.656250	108.025
3948.059814	108.010
3976.668945	107.989
4005.485596	107.960
4034.510986	107.922
4063.746582	107.879
4093.194336	107.831
4122.855469	107.782
4152.730957	107.728
4182.823730	107.670
4213.133789	107.607
4243.664062	107.542
4274.415527	107.475
4305.389648	107.407
4336.588379	107.336
4368.013184	107.261
4399.665527	107.183
4431.547363	107.101
4463.660156	107.014
4496.005371	106.923
4528.585449	106.827
4561.401367	106.728
4594.455078	106.626
4627.748535	106.523
4661.283203	106.420
4695.060547	106.320
4729.083008	106.225
4763.352051	106.139
4797.869141	106.066
4832.636719	106.007
4867.655762	105.965
4902.928711	105.940
4938.457520	105.932
4974.243652	105.939
5010.289062	105.957
5046.595703	105.985
5083.165527	106.019
5120.000000	106.054
5157.101562	106.089
5194.472168	106.119
5232.113281	106.145
5270.027344	106.165
5308.216309	106.181
5346.681641	106.191
5385.426270	106.194
5424.451172	106.192
5463.758789	106.187
5503.351562	106.183
5543.230957	106.180
5583.399414	106.180
5623.859375	106.185
5664.611816	106.195
5705.660156	106.210
5747.005859	106.237
5788.650879	106.288
5830.597656	106.379
5872.848633	106.513
5915.405762	106.669
5958.271484	106.825
6001.447266	106.968
6044.936523	107.099
6088.740234	107.231
6132.861816	107.375
6177.303223	107.541
6222.066406	107.737
6267.154297	107.967
6312.568359	108.227
6358.312012	108.505
6404.386719	108.782
6450.795898	109.043
6497.541016	109.284
6544.625000	109.511
6592.049805	109.729
6639.818359	109.946
6687.933594	110.162
6736.396973	110.376
6785.211426	110.583
6834.379883	110.776
6883.904785	110.948
6933.788574	111.088
6984.033691	111.187
7034.642578	111.231
7085.618652	111.211
7136.963867	111.118
7188.681152	110.949
7240.773438	110.701
7293.243164	110.373
7346.092773	109.966
